獨:,th|u|k|8
脾:,ph|i|3
演:,y|e|n|5
任:,ng|i|m|0
哥:,k|o|5
社:,s|a|0
冒:,m|o|0
擇:,th|o|k|8
蒸:,z|i|ng|1
辣:,l|aa|t|6
特:,th|i|t|8
春:,chh|u|n|3
齋:,ch|ai|5
茶:,chh|a|3
縫:,ph|u|ng|0
师:,s|i|1
想:,s|io|ng|2
泉:,chh|ie|n|3
饒:,ng|ie|u|3
鮮:,chh|i|5
山:,s|a|n|5
皮:,ph|i|3
萝:,l|o|4
元:,ng|ie|n|3
茄:,k|e|2
廚:,chh|u|3
電:,th|ie|n|0
雁:,ng|aa|n|6
店:,t|ia|m|0
聯:,l|ie|n|3
現:,h|ie|n|0
哩:,l|i|1
媳:,s|i|k|1
妻:,chh|i|5
徑:,k|a|ng|0
稀:,h|i|5
放:,f|o|ng|0
搽:,chh|a|3
慣:,k|oa|n|0
敎:,g|aa|u|3
嬤:,m|aa|1
夏:,h|a|0
建:,k|ie|n|0
句:,k|i|0
星:,s|e|n|5
盡:,chh|i|n|0
康:,kh|o|ng|5
認:,ng|i|n|0
咸:,h|aa|m|4
也:,y|a|0
告:,k|o|0
暴:,p|au|0
腰:,y|eu|5
由:,y|u|3
鄱:,p|o|4
夜:,y|a|0
哲:,ch|a|t|0
記:,k|i|0
吃:,h|e|k|3
矮:,ai|2
咯:,g|o|k|1
定:,th|i|n|0
牛:,ng|iu|3
斫:,z|oe|k|3
汗:,h|o|n|0
頭:,th|eu|3
部:,ph|u|0
許:,h|i|2
鹿:,l|u|k|8
評:,ph|i|n|3
醐:,w|u|4
獻:,h|ie|n|0
蝦:,h|a|3
氣:,h|i|0
明:,m|a|ng|3
兩:,l|io|ng|2
秤:,chh|ii|n|0
殺:,s|a|t|0
章:,ch|o|ng|5
管:,k|o|n|2
二:,ng|i|0
呷:,h|aa|p|3
牢:,l|ou|4
守:,s|u|2
捉:,ch|o|k|0
都:,t|u|5
未:,v|i|0
養:,y|o|ng|5
念:,ng|ia|m|0
英:,y|i|n|5
心:,s|i|m|5
良:,l|io|ng|3
做:,ch|o|0
久:,k|iu|2
喀:,k|aa|k|3
还:,w|aa|n|4
种:,z|u|ng|2
北:,p|e|t|0
讨:,t|ou|2
丈:,chh|o|ng|5
民:,m|i|n|3
政:,ch|ii|n|0
太:,th|ai|0
輕:,kh|ia|ng|5
豐:,f|u|ng|5
主:,ch|u|2
偷:,th|eu|5
我:,ng|ai|3
角:,k|o|k|0
风:,f|u|ng|1
方:,f|o|ng|5
綠:,l|iu|k|8
咽:,j|i|n|1
界:,k|ie|0
伢:,ng|aa|4
書:,s|u|5
尉:,w|ai|3
巴:,p|a|5
食:,s|ii|t|8
钵:,b|u|t|3
困:,kh|u|n|0
拆:,chh|a|k|0
兵:,p|i|n|5
銜:,h|aa|m|4
冇:,ph|a|ng|0
干:,k|o|n|5
南:,n|a|m|3
劃:,v|a|k|8
浮:,f|eu|3
边:,b|i|n|1
級:,k|a|p|1
茅:,m|au|3
搖:,y|eu|3
蛤:,g|a|p|3
仗:,z|oe|ng|6
跂:,k|e|i|4
福:,f|u|k|0
器:,h|i|0
道:,th|o|0
娔:,h|a|k|1
婺:,m|ou|6
法:,f|a|p|0
移:,y|i|3
苦:,f|u|2
鑽:,ch|o|n|0
孤:,k|o|5
町:,t|i|ng|5
鬥:,t|eu|0
遠:,y|e|n|2
手:,s|u|2
圻:,k|e|i|4
渡:,th|u|0
倌:,g|u|n|1
雷:,l|u|i|3
痢:,l|e|i|6
脈:,m|a|k|6
存:,chh|u|n|3
臉:,l|i|m|5
創:,chh|o|0
來:,l|oi|3
共:,kh|iu|ng|0
兜:,t|eu|5
窝:,w|o|1
縮:,s|o|k|0
糯:,n|o|6
謀:,m|eu|3
杯:,p|i|5
京:,k|i|n|5
斗:,t|eu|2
館:,g|u|n|2
咪:,m|i|2
姐:,ch|ia|2
撻:,th|a|t|8
辦:,ph|a|n|0
虎:,f|u|2
根:,k|i|n|5
两:,l|oe|ng|5
氏:,s|i|6
寺:,z|i|6
留:,l|iu|3
笠:,l|a|p|1
篡:,chh|o|n|0
龍:,l|iu|ng|3
又:,y|a|0
癫:,d|i|n|1
劉:,l|au|4
楊:,y|o|ng|3
張:,ch|o|ng|5
應:,e|n|0
稱:,chh|ii|n|5
會:,f|i|0
哄:,h|u|ng|1
如:,y|i|3
肚:,t|u|2
刺:,chh|iu|k|0
爹:,d|e|1
岁:,s|e|o|i|3
字:,s|ii|0
代:,th|oi|0
扯:,chh|a|2
禾:,v|o|3
畿:,g|e|i|1
何:,h|o|3
撐:,chh|a|ng|0
杭:,h|o|ng|4
倒:,t|o|0
份:,f|u|n|0
