zi6ci4 jung6faat3" )
( data_00017 "tung4gu2 dou3 soeng1ciu4 zau1ciu4 hai6 gwai1 ngaai6gwok3 ， go3 jaa5 zau6 hai6 keoi5 「 ngaai6gwok3 」 ming4zi6 go2 loi4jyun4" )
( data_00020 "mou5 go2 zau6jiu3 sai3 ngan1 zi2 gwong1 fei1zau1 coi4 jau5 coeng4geng2luk6" )
( data_00021 "cing1jyun4keoi1 hai6 gat1on1 gun2 dou3 go2 jat1zek3 si5hat6keoi1" )
( data_00023 "cing1wan4pou2keoi1 hai6 naam4coeng1 go2 jat1zek3 si5hat6keoi1" )
( data_00024 "dou3 so2jau5 go2 ngai6seot6 leoi6jing4 leoi5tau4 ， jam1lok6 syun3 hai6 zeoi3 cau1zoeng6 go2 ngai6seot6" )
( data_00027 "sai1tau4 hai6 po4joeng4wu4 ， zung1gaan1 hai6 po4joeng4wu4 ping4jyun4" )
( data_00029 "to4niu5 hai6 sai3gaai3 soeng6 zeoi3daai6 go2 niu5 keoi5 go2 daan6 jaa5 hai6 sai3gaai3 zeoi3daai6 go2 daan6 lau4" )
( data_00030 "jing1taam4 hai6 gong1sai1 gun2 dou3 go2 jat1zek3 dei6kap1si5" )
( data_00033 "soeng6leot6 hai6 ping4hoeng1 gun2 dou3 go2 jat1zek3 jyun6 ， keoi5 wai6 dou3 ping4hoeng1 go2 bak1 sau2" )
( data_00037 "zung1gwok3 go2 ling5tou2 min6zik1 zoi6 cyun4sai3gaai3 paai4 zoi6 dai6saam1 coeng4gong1 gan1 wong4ho4 hai6 keoi5 zeoi3coeng4 go2 loeng5tiu4 ho4" )
( data_00038 "go3 coeng4zoeng6 dou3 bat1tung4 go2 so2zoi6 giu3faat3 bat1 jat1joeng6" )
( data_00039 "zung1waa4man4gwok3zing3fu2 zyu2zoeng1 zi1 zung1gwok3 daai6luk6 ling5tou2 ， zak1 bat1zoi6 sat6zai3 hung3zai3 zi1haa6" )
( data_00043 "seon3zau1keoi1 hai6 soeng6jiu4 dai2haa6 go2 jat1zek3 si5hat6keoi1" )
( data_00045 "faa3hok6 hai6 jat1mun4 jin4gau3 mat6zat1 go2 sing3zat1 、 zou2sing4 、 git3kau3 gan1 bin3faa3 go2 fo1hok6" )
( data_00046 "naam4sing4 haa6dai2 gun2dou3 gau2zek3 zan3 saam1zek3 hoeng1 ：" )
( data_00048 "naam4gik6zau1 ho2ji5 fan1sing4 dung1sai1 loeng5zek3 bou6fan1" )
( data_00049 "naam4hoi2 hai6 zi2 zung1gwok3 ji5naam4 go2 hoi2" )
( data_00050 "naam4fung1 hai6 fu2zau1 gun2 dou3 go2 jat1zek3 jyun6" )
( data_00053 "gat1on1 hai6 gong1sai1 gun2 dou3 go2 jat1zek3 dei6kap1si5" )
( data_00054 "gat1on1si5 haa6dai2 gun2dou3 jat1zek3 keoi1 ， jat1zek3 si5 ， sap6zek3 jyun6" )
( data_00056 "gat1zau1keoi1 gun2 dou3 luk6zek3 gaai1dou6 saam1zek3 zan3 loeng5zek3 hoeng1 ：" )
( data_00058 "zung1gwok3 zeoi3zou2 go2 dei6lei5 fong1min6 go2 syu1 jau5 《 jyu5gung3 》 tung4dak1 《 saan1hoi2ging1 》 dang2" )
